id,slug,name,created_at
9e835a4f-afcc-42ec-8155-2e51fe65078d,rdc,RDC,2026-07-31 12:45:19.952296+00
61f39846-d29a-4700-8481-63a0b107c02d,nord-kivu,Nord-Kivu,2026-07-31 12:45:19.952296+00
886af0fd-7f39-474e-82c3-0728d7079203,sud-kivu,Sud-Kivu,2026-07-31 12:45:19.952296+00
fd3b18ee-b171-492a-83bf-41bd00c742c1,ituri,Ituri,2026-07-31 12:45:19.952296+00
33a7c5eb-6380-4288-95a6-1fee749fb037,ebola,Ebola,2026-07-31 12:45:19.952296+00
fa16706d-7e3a-4ce2-9a8c-bbc9c04b5be1,fardc,FARDC,2026-07-31 12:45:19.952296+00
8c36dab7-4e2a-4065-ad4e-593ed893727b,deplaces,Déplacés,2026-07-31 12:45:19.952296+00
1f484e6f-beeb-4f82-a898-7e278ed55d64,economie,Économie,2026-07-31 12:45:19.952296+00
c453cd00-c67f-40c5-9438-95cd92ce3ade,justice,Justice,2026-07-31 12:45:19.952296+00
34927383-09a8-4c1e-b224-f1895318a54b,virunga,Virunga,2026-07-31 12:45:19.952296+00
de324ecb-c58a-4183-9099-a1fc7ff4729a,sante-publique,Santé publique,2026-07-31 12:45:19.952296+00
5b9fe2fb-e45c-4032-ba0a-3803bfd5c206,paix,Paix,2026-07-31 12:45:19.952296+00
