id,kind,severity,reason,age_minutes,breaking_count,ticker_items,duration_ms,db_error,path,detail,created_at
3e501353-90c8-4b3d-8f77-72a23c23b41b,client_alert,critical,content_critical,28927,,8,,,/,"{""animated"": true}",2026-08-02 12:34:47.47543+00
0487e8eb-7932-4b33-a950-96fece8088a0,client_alert,critical,content_critical,28722,,8,,,/,"{""animated"": true}",2026-08-02 12:38:29.587967+00
910b2322-0d80-4a1c-b892-25ea01969706,client_alert,critical,content_critical,28931,,8,,,/,"{""animated"": true}",2026-08-02 12:38:47.521713+00
aa6bf123-c843-4550-84d0-7a94c79e0a69,client_alert,critical,content_critical,28932,,8,,,/,"{""animated"": true}",2026-08-02 12:39:23.911516+00
29e2eb89-3e7c-40a8-adc7-3975d34405fb,client_alert,critical,content_critical,28723,,8,,,/,"{""animated"": true}",2026-08-02 12:39:24.025488+00
a47d6b77-ba4d-4760-9947-e45e6113e05c,client_alert,critical,content_critical,28933,,8,,,/,"{""animated"": true}",2026-08-02 12:41:04.578755+00
c1d50bac-c952-4fc6-8676-d05f94916bb9,client_alert,critical,content_critical,28727,,8,,,/,"{""animated"": true}",2026-08-02 12:42:54.968385+00
2c727e92-eb39-45d6-81f2-e79a011a0c98,client_alert,critical,content_critical,28935,,8,,,/,"{""animated"": true}",2026-08-02 12:43:01.391016+00
dfa7d7c2-d667-4d1f-b4aa-031eba81fed0,client_alert,critical,content_critical,28935,,8,,,/,"{""animated"": true}",2026-08-02 12:43:04.63251+00
66c6b3ac-f672-4ada-b623-8a56602c6ca4,client_alert,critical,content_critical,28727,,8,,,/,"{""animated"": true}",2026-08-02 12:43:10.247923+00
9f3637fb-5ce2-4cf5-b844-a6c42967505d,client_alert,critical,content_critical,28935,,8,,,/,"{""animated"": true}",2026-08-02 12:43:10.516816+00
4cadaa90-5293-4c0d-9510-252d6202e179,client_alert,critical,content_critical,28937,,8,,,/,"{""animated"": true}",2026-08-02 12:45:00.199902+00
dd7efd7a-7630-41b3-aa8a-7469b38fb925,client_alert,critical,content_critical,28939,,8,,,/,"{""animated"": true}",2026-08-02 12:46:55.777602+00
9e7932b3-35d6-40f5-9eda-a0ff01cdcda4,client_alert,critical,content_critical,28732,,8,,,/,"{""animated"": true}",2026-08-02 12:47:41.059789+00
241c0132-879a-44e6-88d1-741f80fee53d,client_alert,critical,content_critical,28940,,8,,,/,"{""animated"": true}",2026-08-02 12:47:54.782834+00
c0191e1c-7075-414f-95cb-80b3235ab4e9,client_alert,critical,content_critical,28732,,8,,,/,"{""animated"": true}",2026-08-02 12:48:02.096133+00
982cd163-e8a2-475d-9d87-b596491101cd,client_alert,critical,content_critical,28732,,8,,,/,"{""animated"": true}",2026-08-02 12:48:09.095879+00
65222a61-b268-450d-93fc-42bfada71ce0,client_alert,critical,content_critical,28734,,8,,,/,"{""animated"": true}",2026-08-02 12:50:23.939198+00
721a06a1-6176-48e0-acf0-27aff9f80e38,client_alert,critical,content_critical,28943,,8,,,/,"{""animated"": true}",2026-08-02 12:50:34.404485+00
2e3d44af-72ba-44bd-8473-5b59345fa44b,client_alert,critical,content_critical,28735,,8,,,/,"{""animated"": true}",2026-08-02 12:50:58.098544+00
d3b60af0-7f82-4b4d-b71f-78629f00e6e0,client_alert,critical,content_critical,28943,,8,,,/,"{""animated"": true}",2026-08-02 12:50:59.496748+00
f63ed16f-a599-41e1-9fb8-ad5c314dd3bc,client_alert,critical,content_critical,28736,,8,,,/,"{""animated"": true}",2026-08-02 12:51:55.3106+00
47db2459-f19f-4911-8268-126a2c312f75,client_alert,critical,content_critical,28945,,8,,,/,"{""animated"": true}",2026-08-02 12:52:15.481485+00
390f0f84-e278-4d39-bd22-8ee554f78ada,client_alert,critical,content_critical,28950,,8,,,/,"{""animated"": true}",2026-08-02 12:58:09.245489+00
